produced_in_US,runtime_ratio,director,supporting_actor_1,runtime,supporting_actor_2,season,revenue,num_production_companies,top_100_actor_count,writer_rank,num_production_countries,actors,decade,budget,actor_rank,has_top_25_writer,release_month,lead_actor,writer,has_top_25_director,in_english,release_year,has_top_25_company,director_rank,title,company_rank,genre_rank,genres
1,0.07242757242757243,Steven Spielberg,Colin Farrell,145.0,Samantha Morton,Summer,358372926,7,0,237,1,"['Tom Cruise', 'Colin Farrell', 'Samantha Morton', 'Max von Sydow', 'Lois Smith']",2000s,102000000,416.6,0,June,Tom Cruise,Scott Frank,1,1,2002,1,33,Minority Report,151.57142857142858,5.25,"['Action', 'Thriller', 'Science Fiction', 'Mystery']"
1,0.04239401496259352,Wes Craven,Cillian Murphy,85.0,Brian Cox,Summer,57891803,3,0,595,1,"['Rachel McAdams', 'Cillian Murphy', 'Brian Cox', 'Jayma Mays', 'Jack Scalia']",2000s,26000000,525.4,0,August,Rachel McAdams,Carl Ellsworth,0,1,2005,0,523,Red Eye,152.33333333333334,7.5,"['Horror', 'Thriller']"
0,0.047737444057682744,Phil Traill,Ed Westwick,96.0,Brooke Shields,Winter,1749457,4,0,1370,3,"['Felicity Jones', 'Ed Westwick', 'Brooke Shields', 'Bill Nighy', 'Tamsin Egerton']",2010s,8000000,713.0,0,February,Felicity Jones,Tom Williams,0,1,2011,0,692,Chalet Girl,251.5,5.5,"['Comedy', 'Romance']"
0,0.04339152119700748,Louis Leterrier,Amber Valletta,87.0,Kate Nauta,Summer,85167639,7,0,494,1,"['Jason Statham', 'Amber Valletta', 'Kate Nauta', 'Alessandro Gassman', 'François Berléand']",2000s,32000000,714.2,0,August,Jason Statham,Luc Besson,0,1,2005,0,393,Transporter 2,202.28571428571428,4.333333333333333,"['Action', 'Thriller', 'Crime']"
1,0.06506506506506507,Stephen Hopkins,William Hurt,130.0,Matt LeBlanc,Spring,136159423,4,0,250,1,"['Gary Oldman', 'William Hurt', 'Matt LeBlanc', 'Mimi Rogers', 'Heather Graham']",1990s,80000000,547.4,0,April,Gary Oldman,Irwin Allen,0,1,1998,0,316,Lost in Space,212.5,4.0,"['Adventure', 'Family', 'Science Fiction']"
1,0.0479313824419778,Steve Miner,Paul Kratka,95.0,Tracie Savage,Summer,36690067,2,0,617,1,"['Dana Kimmell', 'Paul Kratka', 'Tracie Savage', 'Jeffrey Rogers', 'Catherine Parks']",1980s,4000000,835.0,0,August,Dana Kimmell,Victor Miller,0,1,1982,0,701,Friday the 13th Part III,172.0,7.5,"['Horror', 'Thriller']"
1,0.05508262393590386,David Mamet,Campbell Scott,110.0,Ben Gazzara,Autumn,13835130,4,0,171,1,"['Steve Martin', 'Campbell Scott', 'Ben Gazzara', 'Rebecca Pidgeon', 'Ricky Jay']",1990s,10000000,789.8,0,September,Steve Martin,David Mamet,0,1,1997,0,812,The Spanish Prisoner,261.0,6.75,"['Crime', 'Drama', 'Mystery', 'Thriller']"
0,0.046199701937406856,Michael Dowse,Zoe Kazan,93.0,Rafe Spall,Autumn,7847000,3,1,1135,2,"['Daniel Radcliffe', 'Zoe Kazan', 'Rafe Spall', 'Megan Park', 'Adam Driver']",2010s,11000000,753.6,0,September,Daniel Radcliffe,T.J. Dawe,0,1,2013,0,942,What If,261.0,4.333333333333333,"['Drama', 'Comedy', 'Romance']"
1,0.04229607250755287,Nelson Shin,Peter Cullen,84.0,Frank Welker,Summer,5849647,4,1,1200,1,"['Judd Nelson', 'Peter Cullen', 'Frank Welker', 'Leonard Nimoy', 'Orson Welles']",1980s,6000000,374.2,0,August,Judd Nelson,Ron Friedman,0,1,1986,0,983,The Transformers: The Movie,254.0,10.0,['Animation']
1,0.044455544455544456,Roger Michell,Samuel L. Jackson,89.0,Kim Staunton,Spring,94935764,1,0,677,1,"['Ben Affleck', 'Samuel L. Jackson', 'Kim Staunton', 'Toni Collette', 'Sydney Pollack']",2000s,45000000,531.4,0,April,Ben Affleck,Michael Tolkin,0,1,2002,0,84,Changing Lanes,83.0,3.5,"['Action', 'Adventure', 'Crime', 'Thriller']"
0,0.0556936847339632,Eric Toledano,Omar Sy,112.0,Audrey Fleurot,Autumn,426480871,8,0,42,1,"['François Cluzet', 'Omar Sy', 'Audrey Fleurot', 'Anne Le Ny', 'Clotilde Mollet']",2010s,13000000,835.0,0,November,François Cluzet,Eric Toledano,0,0,2011,0,31,The Intouchables,196.625,2.5,"['Drama', 'Comedy']"
1,0.05260545905707196,Breck Eisner,Rose Leslie,106.0,Elijah Wood,Autumn,146936910,7,1,238,1,"['Vin Diesel', 'Rose Leslie', 'Elijah Wood', 'Ólafur Darri Ólafsson', 'Rena Owen']",2010s,90000000,516.0,0,October,Vin Diesel,Jay Oliva,0,1,2015,0,199,The Last Witch Hunter,236.71428571428572,2.6666666666666665,"['Fantasy', 'Action', 'Adventure']"
1,0.04534130543099153,Brett Ratner,Jackie Chan,91.0,Hiroyuki Sanada,Summer,258022233,1,0,89,1,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada', 'Max von Sydow', 'Yvan Attal']",2000s,140000000,458.2,1,August,Chris Tucker,Jeff Nathanson,1,1,2007,0,59,Rush Hour 3,67.0,4.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
1,0.04671968190854871,Boaz Yakin,Chris Sarandon,94.0,James Hong,Spring,40346186,5,0,668,1,"['Jason Statham', 'Chris Sarandon', 'James Hong', 'Catherine Chan', 'Robert John Burke']",2010s,30000000,714.2,0,April,Jason Statham,Boaz Yakin,0,1,2012,0,536,Safe,243.2,4.333333333333333,"['Action', 'Crime', 'Thriller']"
1,0.06365914786967418,Wolfgang Petersen,Rene Russo,127.0,Morgan Freeman,Spring,189859560,4,0,160,1,"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman', 'Kevin Spacey', 'Cuba Gooding Jr.']",1990s,50000000,504.0,0,March,Dustin Hoffman,Laurence Dworet,0,1,1995,0,137,Outbreak,172.5,2.75,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
1,0.06405693950177936,Stuart Rosenberg,George Kennedy,126.0,Luke Askew,Summer,16217773,2,0,948,1,"['Paul Newman', 'George Kennedy', 'Luke Askew', 'Morgan Woodward', 'Harry Dean Stanton']",1960s,3000000,595.0,0,June,Paul Newman,Donn Pearce,0,1,1967,0,770,Cool Hand Luke,177.5,5.5,"['Crime', 'Drama']"
1,0.054,John Schlesinger,Rupert Everett,108.0,Benjamin Bratt,Spring,24362772,2,0,817,1,"['Madonna', 'Rupert Everett', 'Benjamin Bratt', 'Malcolm Stumpf', 'Josef Sommer']",2000s,25000000,762.6,0,March,Madonna,Tom Ropelewski,0,1,2000,0,653,The Next Best Thing,126.0,3.0,['Comedy']
1,0.04568023833167825,Richard Loncraine,Diane Keaton,92.0,Carrie Preston,Autumn,1020921,3,0,1416,1,"['Morgan Freeman', 'Diane Keaton', 'Carrie Preston', 'Cynthia Nixon', 'Alysia Reiner']",2010s,6000000,534.0,0,September,Morgan Freeman,Charlie Peters,0,1,2014,0,1174,5 Flights Up,261.0,2.0,['Drama']
1,0.04389027431421447,Clare Kilner,Dermot Mulroney,88.0,Amy Adams,Winter,47175038,3,1,440,1,"['Debra Messing', 'Dermot Mulroney', 'Amy Adams', 'Jack Davenport', 'Jeremy Sheffield']",2000s,15000000,705.2,0,February,Debra Messing,Dana Fox,0,1,2005,0,493,The Wedding Date,213.33333333333334,5.5,"['Comedy', 'Romance']"
0,0.04728720756595321,Giuseppe Capotondi,Filippo Timi,95.0,Antonia Truppo,Autumn,4300000,2,0,1235,1,"['Kseniya Rappoport', 'Filippo Timi', 'Antonia Truppo', 'Gaetano Bruno', 'Fausto Russo Alesi']",2000s,3906840,835.0,0,October,Kseniya Rappoport,Alessandro Fabbri,0,0,2009,0,1021,The Double Hour,261.0,7.0,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']"
1,0.045363908275174475,Carlos Saldanha,John Leguizamo,91.0,Denis Leary,Spring,660940780,2,1,13,1,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Seann William Scott']",2000s,80000000,238.8,0,March,Ray Romano,Jon Vitti,1,1,2006,1,11,Ice Age: The Meltdown,13.0,5.0,"['Animation', 'Family', 'Comedy', 'Adventure']"
1,0.08287841191066997,Quentin Tarantino,Kurt Russell,167.0,Jennifer Jason Leigh,Winter,155760117,3,0,358,1,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins', 'Demián Bichir']",2010s,44000000,475.2,0,December,Samuel L. Jackson,Quentin Tarantino,0,1,2015,0,212,The Hateful Eight,180.0,9.75,"['Crime', 'Drama', 'Mystery', 'Western']"
1,0.05917753259779338,David Carson,Jonathan Frakes,118.0,Brent Spiner,Autumn,120000000,1,0,300,1,"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner', 'LeVar Burton', 'Michael Dorn']",1990s,38000000,696.0,0,November,Patrick Stewart,Ronald D. Moore,0,1,1994,0,219,Star Trek: Generations,83.0,2.5,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
0,0.05079681274900399,Christophe Van Rompaey,Jurgen Delnaet,102.0,Johan Heldenbergh,Winter,1500000,0,0,1384,1,"['Barbara Sarafian', 'Jurgen Delnaet', 'Johan Heldenbergh', 'Anemone Valcke', 'Sofia Ferri']",2000s,560000,835.0,0,January,Barbara Sarafian,Jean-Claude Van Rijckeghem,0,0,2008,0,1144,"Moscow, Belgium",261.0,4.333333333333333,"['Romance', 'Drama', 'Comedy']"
1,0.08142493638676845,Blake Edwards,Tony Curtis,160.0,Natalie Wood,Summer,25333333,1,0,802,1,"['Jack Lemmon', 'Tony Curtis', 'Natalie Wood', 'Peter Falk', 'Keenan Wynn']",1960s,12000000,828.2,0,July,Jack Lemmon,Arthur A. Ross,0,1,1965,0,729,The Great Race,94.0,2.0,"['Adventure', 'Comedy']"
1,0.053075396825396824,Kevin Reynolds,Cliff Curtis,107.0,Joseph Fiennes,Winter,46069568,4,0,628,1,"['Tom Felton', 'Cliff Curtis', 'Joseph Fiennes', 'Peter Firth', 'Mark Killeen']",2010s,20000000,788.2,0,February,Tom Felton,Kevin Reynolds,0,1,2016,0,157,Risen,204.25,0.0,['Action']
1,0.06259389083625438,Joel Schumacher,Chris O'Donnell,125.0,Arnold Schwarzenegger,Summer,238207122,2,0,97,2,"['George Clooney', ""Chris O'Donnell"", 'Arnold Schwarzenegger', 'Uma Thurman', 'Alicia Silverstone']",1990s,125000000,527.0,0,June,George Clooney,Bob Kane,0,1,1997,0,283,Batman & Robin,113.0,5.333333333333333,"['Action', 'Crime', 'Fantasy']"
1,0.07178464606181456,Martin Campbell,Eva Green,144.0,Mads Mikkelsen,Autumn,599045960,3,0,124,5,"['Daniel Craig', 'Eva Green', 'Mads Mikkelsen', 'Judi Dench', 'Jeffrey Wright']",2000s,150000000,395.0,1,November,Daniel Craig,Paul Haggis,1,1,2006,1,62,Casino Royale,47.0,1.6666666666666667,"['Adventure', 'Action', 'Thriller']"
1,0.05368098159509203,Carol Reed,Tony Curtis,105.0,Gina Lollobrigida,Spring,14400000,1,0,1218,1,"['Burt Lancaster', 'Tony Curtis', 'Gina Lollobrigida', 'Katy Jurado', 'Thomas Gomez']",1950s,4000000,830.0,0,May,Burt Lancaster,Ben Hecht,0,1,1956,0,799,Trapeze,261.0,2.0,['Drama']
1,0.05027652086475616,Rob Hedden,Jensen Daggett,100.0,Scott Reeves,Summer,14000000,3,0,790,1,"['Kane Hodder', 'Jensen Daggett', 'Scott Reeves', 'Barbara Bingham', 'Peter Mark Richman']",1980s,5000000,835.0,0,July,Kane Hodder,Rob Hedden,0,1,1989,0,807,Friday the 13th Part VIII: Jason Takes Manhattan,178.66666666666666,7.5,"['Horror', 'Thriller']"
1,0.057128663686040734,Alexander Payne,Will Forte,115.0,Bob Odenkirk,Autumn,17654912,2,0,918,1,"['Bruce Dern', 'Will Forte', 'Bob Odenkirk', 'June Squibb', 'Stacy Keach']",2010s,12000000,790.6,0,September,Bruce Dern,Bob Nelson,0,1,2013,0,349,Nebraska,247.5,1.5,"['Drama', 'Adventure']"
1,0.04627766599597585,Newt Arnold,Bolo Yeung,92.0,Roy Chiao,Winter,11806119,1,0,846,1,"['Jean-Claude Van Damme', 'Bolo Yeung', 'Roy Chiao', 'Philip Chan Yan-Kin', 'Donald Gibb']",1980s,1500000,818.8,0,February,Jean-Claude Van Damme,Sheldon Lettich,0,1,1988,0,848,Bloodsport,261.0,0.0,['Action']
1,0.05373134328358209,Malcolm Venville,Vera Farmiga,108.0,James Caan,Winter,2169799,2,0,1346,1,"['Keanu Reeves', 'Vera Farmiga', 'James Caan', 'Judy Greer', 'Fisher Stevens']",2010s,12000000,506.2,0,January,Keanu Reeves,Sacha Gervasi,0,1,2010,0,1114,Henry's Crime,261.0,6.0,"['Crime', 'Comedy']"
1,0.06574923547400612,Robert Mulligan,Brock Peters,129.0,James Anderson,Winter,13129846,1,0,1003,1,"['Gregory Peck', 'Brock Peters', 'James Anderson', 'Mary Badham', 'Phillip Alford']",1960s,2000000,835.0,0,December,Gregory Peck,Horton Foote,0,1,1962,0,824,To Kill a Mockingbird,101.0,5.5,"['Crime', 'Drama']"
1,0.0518444666001994,Justin Lin,Nathalie Kelley,104.0,Sung Kang,Summer,158468292,1,2,6,2,"['Lucas Black', 'Nathalie Kelley', 'Sung Kang', 'Shad Moss', 'Brian Tee']",2000s,85000000,679.0,0,June,Lucas Black,Chris Morgan,0,1,2006,0,68,The Fast and the Furious: Tokyo Drift,101.0,3.75,"['Action', 'Crime', 'Drama', 'Thriller']"
1,0.051371571072319204,John Maybury,Keira Knightley,103.0,Kris Kristofferson,Spring,21126225,7,0,859,2,"['Adrien Brody', 'Keira Knightley', 'Kris Kristofferson', 'Jennifer Jason Leigh', 'Kelly Lynch']",2000s,29000000,546.2,0,March,Adrien Brody,Marc Rocco,0,1,2005,0,686,The Jacket,230.85714285714286,6.25,"['Drama', 'Mystery', 'Thriller', 'Fantasy']"
1,0.04271356783919598,John Waters,Amy Locane,85.0,Polly Bergen,Spring,8266343,2,0,1190,1,"['Johnny Depp', 'Amy Locane', 'Polly Bergen', 'Susan Tyrrell', 'Traci Lords']",1990s,11000000,679.4,0,April,Johnny Depp,John Waters,0,1,1990,0,976,Cry-Baby,98.5,9.0,"['Comedy', 'Music']"
1,0.04251012145748988,Michael Miller,Tommy Lee Jones,84.0,Robert Carradine,Spring,2300000,1,0,1336,1,"['Yvette Mimieux', 'Tommy Lee Jones', 'Robert Carradine', 'Mary Woronov', 'Nancy Lee Noble']",1970s,445000,797.4,0,March,Yvette Mimieux,Donald Stewart,0,1,1976,0,1108,Jackson County Jail,261.0,5.5,"['Crime', 'Drama']"
1,0.05271009448035803,Craig Gillespie,Colin Farrell,106.0,Toni Collette,Summer,24922237,1,0,810,2,"['Anton Yelchin', 'Colin Farrell', 'Toni Collette', 'Christopher Mintz-Plasse', 'David Tennant']",2010s,17000000,633.2,0,August,Anton Yelchin,Marti Noxon,0,1,2011,0,600,Fright Night,154.0,7.0,"['Horror', 'Comedy']"
1,0.049494949494949494,Harold Ramis,Rodney Dangerfield,98.0,Ted Knight,Summer,39846344,2,0,304,1,"['Chevy Chase', 'Rodney Dangerfield', 'Ted Knight', ""Michael O'Keefe"", 'Bill Murray']",1980s,6000000,772.6,0,July,Chevy Chase,Harold Ramis,0,1,1980,0,347,Caddyshack,157.5,3.0,['Comedy']
1,0.058941058941058944,Ron Shelton,Scott Speedman,118.0,Michael Michele,Winter,9237470,6,0,653,3,"['Kurt Russell', 'Scott Speedman', 'Michael Michele', 'Brendan Gleeson', 'Ving Rhames']",2000s,15000000,616.2,0,December,Kurt Russell,David Ayer,0,1,2002,0,667,Dark Blue,187.66666666666666,3.75,"['Action', 'Crime', 'Drama', 'Thriller']"
1,0.05187032418952618,Anand Tucker,Claire Danes,104.0,Jason Schwartzman,Autumn,11588205,4,0,1028,1,"['Steve Martin', 'Claire Danes', 'Jason Schwartzman', 'Bridgette Wilson', 'Frances Conroy']",2000s,10284523,715.0,0,October,Steve Martin,Steve Martin,0,1,2005,0,850,Shopgirl,208.75,4.333333333333333,"['Comedy', 'Drama', 'Romance']"
1,0.05187032418952618,Iain Softley,Gena Rowlands,104.0,Peter Sarsgaard,Summer,91974818,6,0,24,2,"['Kate Hudson', 'Gena Rowlands', 'Peter Sarsgaard', 'John Hurt', 'Joy Bryant']",2000s,43000000,703.0,1,July,Kate Hudson,Ehren Kruger,0,1,2005,0,481,The Skeleton Key,222.33333333333334,7.25,"['Drama', 'Horror', 'Mystery', 'Thriller']"
1,0.05846774193548387,Peter Hyams,John Lithgow,116.0,Helen Mirren,Winter,40400657,1,0,667,1,"['Roy Scheider', 'John Lithgow', 'Helen Mirren', 'Bob Balaban', 'Keir Dullea']",1980s,28000000,728.8,0,December,Roy Scheider,Arthur C. Clarke,0,1,1984,0,548,2010,146.0,4.5,"['Thriller', 'Science Fiction']"
1,0.04226752859273993,Chris Kentis,Adam Trese,85.0,Eric Sheffer Stevens,Winter,13101672,2,0,1004,2,"['Elizabeth Olsen', 'Adam Trese', 'Eric Sheffer Stevens', 'Julia Taylor Ross', 'Adam Barnett']",2010s,2000000,835.0,0,January,Elizabeth Olsen,Laura Lau,0,1,2011,0,825,Silent House,261.0,11.5,"['Horror', 'Mystery']"
1,0.05463659147869674,Frank Marshall,Dylan Walsh,109.0,Ernie Hudson,Summer,152022101,2,0,25,1,"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson', 'Tim Curry', 'Grant Heslov']",1990s,50000000,588.2,0,June,Laura Linney,Michael Crichton,0,1,1995,0,242,Congo,66.0,4.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
1,0.05305709954522486,Robert Benton,Meryl Streep,105.0,Jane Alexander,Winter,106260000,1,0,570,1,"['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander', 'Justin Henry', 'Howard Duff']",1970s,8000000,749.4,0,December,Dustin Hoffman,Robert Benton,0,1,1979,0,449,Kramer vs. Kramer,97.0,2.0,['Drama']
0,0.0456140350877193,Stanley Tong,Anita Mui,91.0,Françoise Yip,Winter,32392047,2,0,733,1,"['Jackie Chan', 'Anita Mui', 'Françoise Yip', 'Bill Tung', 'Marc Akerstream']",1990s,7500000,711.8,0,January,Jackie Chan,Edward Tang,0,0,1995,0,594,Rumble in the Bronx,164.0,4.0,"['Crime', 'Action', 'Comedy', 'Thriller']"
1,0.06246901338621715,Niki Caro,Johan Heldenbergh,126.0,Daniel Brühl,Spring,13162475,3,0,1002,3,"['Jessica Chastain', 'Johan Heldenbergh', 'Daniel Brühl', 'Timothy Radford', 'Efrat Dor']",2010s,20000000,743.0,0,March,Jessica Chastain,Angela Workman,0,1,2017,0,823,The Zookeeper's Wife,229.33333333333334,8.0,"['Drama', 'History']"
1,0.05541687468796805,Quentin Tarantino,Lucy Liu,111.0,Vivica A. Fox,Autumn,180949000,3,0,358,1,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Daryl Hannah', 'David Carradine']",2000s,30000000,747.6,0,October,Uma Thurman,Quentin Tarantino,0,1,2003,0,212,Kill Bill: Vol. 1,236.66666666666666,4.5,"['Action', 'Crime']"
0,0.06766917293233082,Jean-Paul Rappeneau,Olivier Martinez,135.0,Pierre Arditi,Autumn,15000000,3,0,1109,1,"['Juliette Binoche', 'Olivier Martinez', 'Pierre Arditi', 'François Cluzet', 'Gérard Depardieu']",1990s,35000000,827.0,0,September,Juliette Binoche,Jean-Claude Carrière,0,1,1995,0,791,The Horseman on the Roof,231.0,6.0,"['War', 'Adventure', 'Drama', 'Romance']"
1,0.0734632683658171,David Lynch,Laura Harring,147.0,Ann Miller,Spring,20117339,5,0,828,2,"['Naomi Watts', 'Laura Harring', 'Ann Miller', 'Dan Hedaya', 'Justin Theroux']",2000s,15000000,703.0,0,May,Naomi Watts,David Lynch,0,1,2001,0,664,Mulholland Drive,245.6,6.0,"['Thriller', 'Drama', 'Mystery']"
0,0.04473161033797217,Enrique Gato,Lewis Macleod,90.0,Kerry Shale,Summer,23000000,1,0,830,1,"['Fiona Glascott', 'Lewis Macleod', 'Kerry Shale', 'Óscar Barberán', 'Meritxell Ané']",2010s,10500000,835.0,0,August,Fiona Glascott,Ignacio del Moral,0,0,2012,0,665,"Tad, the Lost Explorer",261.0,5.0,"['Animation', 'Comedy', 'Adventure', 'Family']"
1,0.060362173038229376,Dennis Hopper,Robert Duvall,120.0,María Conchita Alonso,Spring,46616067,1,0,350,1,"['Sean Penn', 'Robert Duvall', 'María Conchita Alonso', 'Randy Brooks', 'Grand L. Bush']",1980s,6000000,761.2,0,April,Sean Penn,Michael Schiffer,0,1,1988,0,496,Colors,221.0,3.6666666666666665,"['Action', 'Crime', 'Drama']"
1,0.0457286432160804,Craig R. Baxley,Brian Benben,91.0,Betsy Brantley,Winter,9229401,4,0,1100,1,"['Dolph Lundgren', 'Brian Benben', 'Betsy Brantley', 'Matthias Hues', 'Jay Bilas']",1990s,7000000,768.0,0,January,Dolph Lundgren,Jonathan Tydor,0,1,1990,0,794,Dark Angel,261.0,5.8,"['Action', 'Thriller', 'Science Fiction', 'Crime', 'Horror']"
1,0.06746626686656672,Ron Howard,Ed Harris,135.0,Jennifer Connelly,Winter,313542341,3,0,75,1,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer', 'Paul Bettany']",2000s,60000000,304.6,0,December,Russell Crowe,Sylvia Nasar,0,1,2001,0,111,A Beautiful Mind,84.33333333333333,5.0,"['Drama', 'Romance']"
0,0.05216095380029806,Amma Asante,Tom Wilkinson,105.0,Miranda Richardson,Autumn,16505460,5,0,945,1,"['Gugu Mbatha-Raw', 'Tom Wilkinson', 'Miranda Richardson', 'Penelope Wilton', 'Emily Watson']",2010s,10900000,576.8,0,September,Gugu Mbatha-Raw,Misan Sagay,0,1,2013,0,766,Belle,259.8,2.0,['Drama']
1,0.05223880597014925,Tom Vaughan,Brendan Fraser,105.0,Keri Russell,Winter,15134293,2,0,965,1,"['Harrison Ford', 'Brendan Fraser', 'Keri Russell', 'Courtney B. Vance', 'Meredith Droeger']",2010s,31000000,682.8,0,January,Harrison Ford,Robert Nelson Jacobs,0,1,2010,0,787,Extraordinary Measures,205.5,2.0,['Drama']
1,0.0887218045112782,Mel Gibson,Catherine McCormack,177.0,Sophie Marceau,Spring,210000000,3,0,201,1,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",1990s,72000000,721.8,0,May,Mel Gibson,Randall Wallace,0,1,1995,0,35,Braveheart,201.0,7.25,"['Action', 'Drama', 'History', 'War']"
1,0.04852426213106553,Oliver Parker,Minnie Driver,97.0,Rupert Everett,Spring,18535191,2,0,901,2,"['Cate Blanchett', 'Minnie Driver', 'Rupert Everett', 'Julianne Moore', 'Jeremy Northam']",1990s,14000000,591.6,0,April,Cate Blanchett,Oliver Parker,0,1,1999,0,728,An Ideal Husband,224.5,4.333333333333333,"['Drama', 'Comedy', 'Romance']"
1,0.09613428280773144,George Roy Hill,Max von Sydow,189.0,Richard Harris,Autumn,34562222,1,0,683,1,"['Julie Andrews', 'Max von Sydow', 'Richard Harris', 'Gene Hackman', ""Carroll O'Connor""]",1960s,15000000,471.6,0,October,Julie Andrews,Dalton Trumbo,0,1,1966,0,390,Hawaii,249.0,3.6666666666666665,"['Drama', 'Adventure', 'Romance']"
